id;amount;description;currency;current_iso_code
1;18955;synthesizing;Awesome Plastic Pants Borders Accounts;copying
2;55620;Ergonomic 1080p;visualize AI Practical Plastic Chicken;Intranet
3;57176;Avon auxiliary;bandwidth-monitored Fresh Bike;Pennsylvania secondary Tasty Frozen Shoes
4;45859;Gardens navigating Alaska;Well;firewall Credit Card Account ability
5;81226;Track;programming Outdoors Adaptive;Coordinator redundant
6;93685;Accounts leverage;Industrial;Fully-configurable leading edge Tactics
7;83626;Cambridgeshire revolutionize;Licensed Tennessee;matrix quantify
8;29319;generating Kentucky;Pants;auxiliary Rustic Rubber Salad
9;72136;Belize Dollar payment Bedfordshire;cutting-edge;next-generation card
10;90060;bluetooth interfaces;Borders Markets;Investor cyan input
