id;country_name;country_iso_code;country_flag_url;country_calling_code;country_tel_digit_length
1;content backing up Usability;Div;Berkshire virtual;Solomon Islands Dollar interface Gorgeous Steel Chair;54381
2;Generic Frozen Gloves interactive;eve;wireless Soft;Savings Account;29016
3;even-keeled intuitive clear-thinking;Mus;back up cutting-edge Cotton;explicit;98741
4;alarm Music 4th generation;Bul;Enterprise-wide;Strategist Soap maximized;70645
5;synergies Rustic Rubber Computer engineer;Sma;focus group Cambridgeshire Granite;purple invoice Assurance;20205
6;virtual Small Cotton Chicken Rubber;Orc;Minnesota Coordinator;Vision-oriented;39703
7;Computers Iceland Krona Synchronised;Hig;New York Solomon Islands;haptic;70921
8;markets;Int;deliverables IB wireless;connect Director hack;39931
9;orchid recontextualize;For;deposit Guatemala Director;Jewelery;8153
10;Concrete;ban;parsing;Fantastic interface;46779
